standardIngredientName,officialFunctionRaw,dailyIntakeRaw,precautionsRaw,sourceName,ingredientMasterId
비오틴,"지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",9~900 μg,이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),298
비타민 C,(가) 결합조직 형성과 기능유지에 필요 / (나) 철의 흡수에 필요 / (다) 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요,"30~1,000 mg",,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),305
칼슘,(가) 뼈와 치아 형성에 필요 / (나) 신경과 근육 기능 유지에 필요 / (다) 정상적인 혈액응고에 필요 / (라) 골다공증 발생 위험 감소에 도움을 줌,210~800 mg,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),491
마그네슘,(가) 에너지 이용에 필요 / (나) 신경과 근육 기능 유지에 필요,94.5~250 mg,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),226
철,(가) 체내 산소운반과 혈액생성에 필요 / (나) 에너지 생성에 필요,3.6~15 mg,특히 6세 이하는 과량섭취하지 않도록 주의,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),482
아연,(가) 정상적인 면역기능에 필요 / (나) 정상적인 세포분열에 필요,2.55~12 mg,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),378
구리,(가) 철의 운반과 이용에 필요 / (나) 유해산소로부터 세포를 보호하는데 필요,0.24~7.0 mg,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),124
셀레늄,유해산소로부터 세포를 보호하는데 필요,16.5~135 μg,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),336
요오드,(가) 갑상선 호르몬의 합성에 필요 / (나) 에너지 생성에 필요 / (다) 신경발달에 필요,45~150 μg,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),414
망간,(가) 뼈 형성에 필요 / (나) 에너지 이용에 필요 / (다) 유해산소로부터 세포를 보호하는데 필요,0.9~3.5 mg,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),236
몰리브덴,산화･환원 효소의 활성에 필요,7.5~230 μg,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),243
칼륨,체내 물과 전해질 균형에 필요,1.05~3.7 g,"(가) 신장질환, 위장관질환 등이 있는 경우 섭취 전 전문가와 상담할 것 / (나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),490
크롬,"체내 탄수화물, 지방, 단백질 대사에 관여",0.009~9 mg,(가) 당뇨병이 있는 경우 섭취 전 전문가와 상담할 것 / (나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),501
식이섬유,,식이섬유로서 5 g 이상,반드시 충분한 물과 함께 섭취할 것(액상제외),건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),354
단백질,,단백질로서 12.0 g 이상,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),163
필수 지방산,,리놀레산은 4.0 g 이상 또는 리놀렌산은 0.6 g 이상,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),560
인삼,(가)면역력 증진·피로개선·뼈 건강에 도움을 줄 수 있음 / (나)간 건강에 도움을 줄 수 있음[1),(가)면역력 증진･피로개선에 도움을 줄 수 있음 : 진세노사이드 Rg1과 Rb1의 합계로서 3∼80 mg / (나) 뼈 건강에 도움을 줄 수 있음 : 진세노사이드 Rg1과 Rb1의 합계로서 25 mg / (다) 간 건강에 도움을 줄 수 있음 : 진세노사이드 Rg1과 Rb1의 합계로서 28.8 mg,(가)당뇨치료제 및 혈액항응고제 복용 시 섭취에 주의 / (나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 / (다) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),435
홍삼,면역력 증진･피로개선･혈소판 응집억제를 통한 혈액흐름･기억력 개선･항산화･갱년기 여성의 건강에 도움을 줄 수 있음,"(가)면역력 증진･피로개선에 도움을 줄 수 있음 : 진세노사이드 Rg1, Rb1 및 Rg3의 합계로서 3~80 mg / (나)혈소판 응집억제를 통한 혈액흐름･기억력 개선･항산화에 도움을 줄 수 있음 : 진세노사이드 Rg1, Rb1 및 Rg3의 합계로서 2.4~80 mg / (다)갱년기 여성의 건강에 도움을 줄 수 있음 : 진세노사이드 Rg1, Rb1 및 Rg3의 합계로서 25~80 mg",(가)당뇨치료제 및 혈액항응고제 복용 시 섭취에 주의 / (나)알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 / (다)이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),586
엽록소 함유 식물,피부건강･항산화에 도움을 줄 수 있음,총엽록소로서 8~150 mg,이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),394
클로렐라,피부건강･항산화･면역력 증진･혈중 콜레스테롤 개선에 도움을 줄 수 있음,(가)피부건강･항산화에 도움을 줄 수 있음 : 총 엽록소로서 8~150 mg / (나)면역력 증진･혈중 콜레스테롤 개선에 도움을 줄 수 있음 : 총 엽록소로서 125~150 mg,이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),505
스피루리나,항산화･혈중 콜레스테롤 개선에 도움을 줄 수 있음,(가) 항산화에 도움을 줄 수 있음 : 총 엽록소로서 10~80 mg / (나)혈중 콜레스테롤 개선에 도움을 줄 수 있음 : 총 엽록소로서 40~80 mg,이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),347
녹차추출물,항산화･체지방 감소･혈중 콜레스테롤 개선에 도움을 줄 수 있음,카테킨으로서 0.3~1 g,"(가) 어린이, 임산부 및 수유부는 섭취를 피할 것 / (나) 간질환이 있거나 의약품 복용 시 전문가와 상담할 것 / (다) 카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음 / (라) 식사 후 섭취할 것 / (마) 카페인을 함유한 식품의 섭취에 주의할 것 / (바) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),159
프로폴리스추출물,"항산화 ․ 구강에서의 항균작용에 도움을 줄 수 있음 / ※구강에서의 항균작용은 구강에 직접 접촉할 수 있는 형태에 한하며, 섭취량을 적용하지 않음",총 플라보노이드로서 20~ 40 mg,(가) 프로폴리스에 알레르기를 나타내는 사람은 섭취에 주의(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),550
코엔자임Q10,항산화･높은 혈압 감소에 도움을 줄 수 있음,코엔자임Q10으로서 90~100 mg / <표>,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),493
대두이소플라본,뼈 건강에 도움을 줄 수 있음,대두이소플라본 비배당체로서 24~27 mg,"영유아, 어린이, 임산부와 수유부는 섭취에 주의대두에 알레르기를 나타내는 사람은 섭취에 주의에스트로겐 호르몬에 민감한 사람은 섭취에 주의",건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),175
구아바잎 추출물,식후 혈당상승 억제에 도움을 줄 수 있음,총 폴리페놀로서 120 mg,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),128
바나바잎 추출물,식후 혈당상승 억제에 도움을 줄 수 있음,코로솔산으로서 0.45~1.3 mg,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),260
은행잎 추출물,기억력 개선･혈행 개선에 도움을 줄 수 있음,플라보놀 배당체로서 28~36 mg,"임산부, 수유부, 어린이 및 수술전후 환자는 섭취에 주의의약품(항응고제) 복용 시 섭취에 주의",건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),430
밀크씨슬 추출물,간 건강에 도움을 줄 수 있음,실리마린으로서 130 mg,"(가) 어린이, 임산부 및 수유부는 섭취를 피할 것 / (나) 알레르기 반응이 나타나는 경우에는 섭취 중단 / (다) 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의 / (라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),259
달맞이꽃종자 추출물,식후 혈당상승 억제에 도움을 줄 수 있음,PGG로서 4~8.4 mg,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),166
EPA 및 DHA 함유 유지,혈중 중성지질 개선･혈행 개선･기억력 개선･건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음,(가)혈중 중성지질 개선･혈행 개선에 도움을 줄 수 있음 : EPA와 DHA의 합으로서 0.5~2 g / (나)기억력 개선에 도움을 줄 수 있음 : EPA와 DHA의 합으로서 0.9~2 g / (다)건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음 : EPA와 DHA의 합으로서 0.6~2.24 g,"(가)의약품(항응고제, 항혈소판제, 혈압강하제 등) 복용 시 전문가와 상담할 것 / (나) 개인에 따라 피부 관련 이상반응이 발생할 수 있음 / (다) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),25
감마리놀렌산 함유 유지,혈중 콜레스테롤 개선･혈행개선･월경전 변화에 의한 불편한 상태 개선･면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음,(가)혈중 콜레스테롤 개선･혈행개선에 도움을 줄 수 있음 : 감마리놀렌산으로서 240~300 mg / (나)월경전 변화에 의한 불편한 상태 개선에 도움을 줄 수 있음 : 감마리놀렌산으로서 210~300 mg / (다)면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음 : 감마리놀렌산으로서 160~300 mg,(가) 영･유아･어린이는 섭취 전 전문가와 상담한 후 섭취할 것(면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있다는 기능성을 표시･판매하는 경우에 한함) / (나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),109
레시틴,혈중 콜레스테롤 개선에 도움을 줄 수 있음,레시틴으로서 1.2~18 g,대두나 난황에 알레르기를 나타내는 사람은 섭취에 주의,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),208
스쿠알렌,항산화에 도움을 줄 수 있음,스쿠알렌으로서 10 g,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),345
식물스테롤/식물스테롤에스테르,혈중 콜레스테롤 개선에 도움을 줄 수 있음,(가) 식물스테롤로서 0.8~3 g(식물스테롤을 원료로 사용한 경우) / (나)식물스테롤에스테르로서 1.28~4.8 g(식물스테롤에스테르를 원료로 사용한 경우),베타-카로틴(β-carotene)의 흡수를 저해할 수 있음,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),352
알콕시글리세롤 함유 상어간유,면역력 증진에 도움을 줄 수 있음,알콕시글리세롤로서 0.6~2.7 g,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),383
옥타코사놀 함유 유지,지구력 증진에 도움을 줄 수 있음,옥타코사놀로서 7~40 mg,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),408
매실추출물,피로 개선에 도움을 줄 수 있음,구연산으로서 1~1.3 g,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),238
공액리놀레산,과체중인 성인의 체지방 감소에 도움을 줄 수 있음,공액리놀레산으로 1.4~4.2 g,"위장장애가 발생할 수 있음 / 영･유아, 임산부는 섭취를 삼가야 함 / 식사조절, 운동을 병행하는 것이 체지방 감소에 효과적임 / / <표>",건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),120
가르시니아캄보지아 추출물,탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음,"총(-)-Hydroxycitric acid로서 750~2,800 mg / / <표>","(가) 어린이, 임산부 및 수유부는 섭취를 피할 것 / (나)간･신장･심장질환, 알레르기 및 천식이 있거나 의약품 복용 시 전문가와 상담할 것 / (다) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 / / <표>",건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),101
마리골드꽃추출물,노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음,루테인으로서 10~20 mg,"(가) 영‧유아, 어린이, 임산부 및 수유부는 섭취를 피할 것 / (나) 흡연자는 섭취 시 전문가와 상담할 것 / (다) 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음 / (라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),231
헤마토코쿠스 추출물,눈의 피로도 개선에 도움을 줄 수 있음,아스타잔틴으로서 4~12 mg,과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음 / β-카로틴의 흡수를 저해할 수 있음,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),572
쏘팔메토 열매 추출물,전립선 건강의 유지에 도움을 줄 수 있음,로르산으로서 70~115 mg,"(가) 성인남성만 섭취할 것 / (나)수술 전후, 출혈성 질환이 있거나 항응고제 등 복용 시 전문가와 상담할 것 / (다) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 / (라)메스꺼움 등 소화계통의 불편함과 설사를 유발할 수 있으니 식사 후 섭취할 것 / (마) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),363
포스파티딜세린,노화로 인해 저하된 인지력 개선･자외선에 의한 피부 손상으로부터 피부 건강 유지･피부보습에 도움을 줄 수 있음,포스파티딜세린으로서 300 mg,임산부와 수유부는 섭취에 주의 / 과잉섭취 시 위장장애나 불면증을 유발할 수 있음,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),530
글루코사민,관절 및 연골 건강에 도움을 줄 수 있음,글루코사민염산염 또는 황산염으로서 1.5 g,"(가) 임산부 및 수유부는 섭취를 피할 것 / (나)간･심장질환, 수술 전후, 고혈압, 당뇨 및 천식이 있거나 의약품(항응고제 등) 복용 시 전문가와 상담할 것 / (다)게 또는 새우에 알레르기가 있는 사람은 섭취에 주의할 것(게 또는 새우를 원재료로 사용한 경우) / (라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),139
NAG,관절 및 연골 건강･피부보습에 도움을 줄 수 있음,(가)관절 및 연골건강에 도움을 줄 수 있음 : N-아세틸글루코사민으로서 0.5~1 g / (나) 피부보습에 도움을 줄 수 있음 : N-아세틸글루코사민으로서 1 g,게 또는 새우에 알레르기가 있는 사람은 섭취에 주의(게 또는 새우를 원재료로 사용한 경우에 한함) / / <표>,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),76
뮤코다당·단백,관절 및 연골건강에 도움을 줄 수 있음,뮤코다당･단백으로서 1.2~1.5 g,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),246
구아검/구아검가수분해물,혈중 콜레스테롤 개선･식후 혈당상승 억제･장내 유익균 증식･배변활동 원활에 도움을 줄 수 있음,(가)혈중 콜레스테롤 개선･식후 혈당상승 억제･배변활동 원활에 도움을 줄 수 있음 : 구아검/구아검가수분해물 식이섬유로서 9.9~27 g / (나)장내 유익균 증식에 도움을 줄 수 있음 : 구아검/구아검가수분해물 식이섬유로서 4.6~27 g,반드시 충분한 물과 함께 섭취할 것(액상제외),건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),125
글루코만난,혈중 콜레스테롤 개선･배변활동 원활에 도움을 줄 수 있음,글루코만난 식이섬유로서 2.7~17 g,반드시 충분한 물과 함께 섭취할 것(액상제외),건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),138
귀리식이섬유,혈중 콜레스테롤 개선･식후 혈당상승 억제에 도움을 줄 수 있음,(가)혈중 콜레스테롤 개선에 도움을 줄 수 있음 : 귀리 식이섬유로서 3 g 이상 / (나)식후 혈당상승 억제에 도움을 줄 수 있음 : 귀리식이섬유로서 0.8 g 이상,반드시 충분한 물과 함께 섭취할 것(액상제외) / <표>,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),132
난소화성말토덱스트린,식후 혈당상승 억제･혈중 중성지질 개선･배변활동 원활에 도움을 줄 수 있음,(가)식후 혈당상승 억제에 도움을 줄 수 있음 : 난소화성말토덱스트린 식이섬유로서 4.0~30 g (액상원료는 4.0~44 g) / (나)혈중 중성지질 개선에 도움을 줄 수 있음 : 난소화성말토덱스트린 식이섬유로서 5.0~30 g (액상원료는 5.0~44 g) / (다)배변활동 원활에 도움을 줄 수 있음 : 난소화성말토덱스트린 식이섬유로서 4.2~30 g (액상원료는 4.2~44 g),(가)반드시 충분한 물과 함께 섭취할 것(액상제외) / (나)이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),153
대두식이섬유,혈중 콜레스테롤 개선･식후 혈당상승 억제･배변활동 원활에 도움을 줄 수 있음,(가)혈중 콜레스테롤 개선･배변활동 원활에 도움을 줄 수 있음 : 대두 식이섬유로서 20~60 g / (나)식후 혈당상승 억제에 도움을 줄 수 있음 : 대두 식이섬유로서 10~60 g,(가) 반드시 충분한 물과 함께 섭취할 것(액상제외) / (나) 대두에 알레르기를 나타내는 사람은 섭취에 주의,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),173
목이버섯식이섬유,배변활동 원활에 도움을 줄 수 있음,목이버섯식이섬유로서 12 g,반드시 충분한 물과 함께 섭취할 것(액상제외),건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),241
밀식이섬유,식후 혈당상승 억제･배변활동 원활에 도움을 줄 수 있음,(가) 식후 혈당상승 억제에 도움을 줄 수 있음 : 밀 식이섬유로서 6~36 g / (나) 배변활동 원활에 도움을 줄 수 있음 : 밀 식이섬유로서 36 g,반드시 충분한 물과 함께 섭취할 것(액상제외),건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),255
보리식이섬유,배변활동 원활에 도움을 줄 수 있음,보리 식이섬유로서 20~25 g,반드시 충분한 물과 함께 섭취할 것(액상제외),건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),282
아라비아검,배변활동 원활에 도움을 줄 수 있음,아라비아검 식이섬유로서 20 g,반드시 충분한 물과 함께 섭취할 것(액상제외),건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),372
옥수수겨식이섬유,혈중 콜레스테롤 개선･식후 혈당상승 억제에 도움을 줄 수 있음,옥수수겨식이섬유로서 10 g,반드시 충분한 물과 함께 섭취할 것(액상제외),건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),404
이눌린/치커리추출물,혈중 콜레스테롤 개선･식후 혈당상승 억제･배변활동 원활에 도움을 줄 수 있음,(가)혈중 콜레스테롤 개선･식후 혈당상승 억제에 도움을 줄 수 있음 : 이눌린/치커리추출물 식이섬유로서 7.2~20 g / (나)배변활동 원활에 도움을 줄 수 있음 : 이눌린/치커리추출물식이섬유로서 6.4~20 g,반드시 충분한 물과 함께 섭취할 것(액상제외) / <표>,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),432
차전자피식이섬유,혈중 콜레스테롤 개선･배변활동 원활에 도움을 줄 수 있음,(가)혈중 콜레스테롤 개선에 도움을 줄 수 있음 : 차전자피 식이섬유로서 6.0 g 이상 / (나)배변활동 원활에 도움을 줄 수 있음: 차전자피 식이섬유로서 5.0 g 이상,(가) 반드시 충분한 물과 함께 섭취할 것(액상제외) / (나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),471
폴리덱스트로스,배변활동 원활에 도움을 줄 수 있음,폴리덱스트로스 식이섬유로서 4.5~12 g,(가) 반드시 충분한 물과 함께 섭취할 것(액상제외)(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),533
호로파종자식이섬유,식후 혈당상승 억제에 도움을 줄 수 있음,호로파종자 식이섬유로서 12~50 g,반드시 충분한 물과 함께 섭취할 것(액상제외),건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),576
알로에 겔,피부건강･장 건강･면역력 증진에 도움을 줄 수 있음,총다당체 함량으로서 100~420 mg / <표>,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),381
영지버섯 자실체 추출물,혈행 개선에 도움을 줄 수 있음,베타글루칸으로서 24~42 mg,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),396
키토산/키토올리고당,혈중 콜레스테롤 개선･체지방 감소에 도움을 줄 수 있음,"(가)혈중 콜레스테롤 개선에 도움을 줄 수 있음 : 키토산 또는 키토올리고당으로서 1.2~4.5 g / / <표> / (나)체지방 감소에 도움을 줄 수 있음 : 키토산으로서 3.0~4.5 g, 키토올리고당으로서 3 g",게 또는 새우에 알레르기가 있는 사람은 섭취에 주의(게 또는 새우를 원재료로 사용한 경우에 한함) / <표>,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),507
프락토올리고당,장내 유익균 증식 및 배변활동 원활에 도움을 줄 수 있음,프락토올리고당으로서 3~8 g,"(가) 섭취 시 가스참, 트림, 복통, 복부팽만감 등이 발생할 수 있음 / (나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),540
프로바이오틱스,유산균 증식 및 유해균 억제･배변활동 원활･장 건강에 도움을 줄 수 있음,"100,000,000(1억)~10,000,000,000(100억) CFU",(가) 질환이 있거나 의약품 복용 시 전문가와 상담할 것 / (나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 / (다) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것 / (라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),541
홍국,혈중 콜레스테롤 개선에 도움을 줄 수 있음,총 모나콜린 K로서 4~8 mg,"(가) 어린이, 임산부 및 수유부는 섭취를 피할 것(나) 간 질환이 있거나, 고지혈증 치료제 복용 시 섭취를 피할 것(다) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),584
대두단백,혈중 콜레스테롤 개선에 도움을 줄 수 있음,대두단백으로서 15 g 이상,대두단백에 알레르기를 나타내는 경우에는 섭취 주의,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),163
테아닌,스트레스로 인한 긴장완화에 도움을 줄 수 있음,L-테아닌으로서 200~250 mg,"카페인 함유음료(커피, 홍차, 녹차 등)와의 병용 섭취에 주의 / 임산부, 수유부, 어린이 및 수술전후 환자는 섭취에 주의",건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),514
엠에스엠,관절 및 연골건강에 도움을 줄 수 있음,엠에스엠(MSM)으로서 1.5~2.0 g,(가) 신장질환이 있는 사람은 섭취 전 전문가와 상담할 것 / (나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),389
폴리감마글루탐산,체내 칼슘흡수 촉진에 도움을 줄 수 있음,폴리감마글루탐산으로서 60~70 mg,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),532
히알루론산,피부보습･자외선에 의한 피부손상으로부터 피부건강 유지에 도움을 줄 수 있음,(가) 피부보습에 도움을 줄 수 있음 : 히알루론산으로서 120∼240 mg / (나)자외선에 의한 피부손상으로부터 피부건강 유지에 도움을 줄 수 있음 : 히알루론산으로서 240 mg,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),603
홍경천 추출물,스트레스로 인한 피로 개선에 도움을 줄 수 있음,홍경천추출물로서 200~600 mg,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),582
빌베리 추출물,눈의 피로 개선에 도움을 줄 수 있음,빌베리 추출물로서 160〜240 mg (안토시아노사이드로서 50∼108 mg),,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),310
마늘,혈중 콜레스테롤 개선‧혈압조절에 도움을 줄 수 있음,마늘 분말로서 0.6∼1.0 g,,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),227
라피노스,(가) 장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있음 / (나) 배변활동을 원활히 하는데 도움을 줄 수 있음,라피노스로서 3~5 g,섭취량 이상 섭취 시 설사를 유발할 수 있음,건강기능식품의 기준 및 규격(식약처 고시 제2024-16호),200
