"ruleCode","scopeType","ingredientCodes","expressionType","candidateExamples","judgmentCategory","applicationConditions","exceptions","requiredEvidence","severity","sourceIds","caseIds","ruleVersion","reviewStatus"
"C11_SUB_INGREDIENT_FUNCTION","COMMON","[]","부원료가 항암·피로개선","[""부원료가 항암"",""피로개선""]","SUB_INGREDIENT_FUNCTION","부원료의 기능·특허를 제품 또는 주원료 기능처럼 주장하는지","실제 주·부원료 구분 확인. 해당 성분의 일반적 연구만으로 제품 주장 허용 불가","null","HIGH","[""LAW-02"",""REVIEW-01""]","[""BAD-10""]","0.1","DRAFT"
"C12_SUB_INGREDIENT_EMPHASIS","COMMON","[]","일부 부원료만 큰 함량·이미지","[""일부 부원료만 큰 함량"",""이미지""]","SUB_INGREDIENT_EMPHASIS","매체별 기준, 일부 원료만 수치 강조, 주원료보다 큰 글자·도안을 확인","모든 부원료의 단순 함유사실 나열 등 조건 구분. 텍스트만으로 크기·배치 확정 불가","null","CAUTION","[""REVIEW-01""]","[""BAD-10""]","0.1","DRAFT"
"C13_TESTIMONIAL","COMMON","[]","먹고 나았다·감량했다는 후기","[""먹고 나았다"",""감량했다는 후기""]","TESTIMONIAL","기능성 범위·실제 경험·실존 여부·효과 보장·객관성 확인","광고주가 활용한 후기인지 별도 사용자 게시물인지 확인. 후기 형식만으로 불허하지 않음","후기의 실제 경험·실존 여부 및 광고주 활용 관계 자료","CAUTION","[""LAW-02"",""REVIEW-02""]","[""BAD-01"",""GOOD-01""]","0.1","DRAFT"
"C14_EXPERT_ENDORSEMENT","COMMON","[]","의사 추천·약사 보증","[""의사 추천"",""약사 보증""]","EXPERT_ENDORSEMENT","전문가가 해당 제품 기능성을 보증·추천·공인하는 내용인지","개발 직접 참여 사실 및 개인맞춤형 서비스 설명은 별도 조건 검토","전문가의 추천·보증·공인 관계를 확인할 자료","HIGH","[""LAW-02"",""REVIEW-02""]","[]","0.1","DRAFT"
"C15_EXPERT_DEVELOPMENT","COMMON","[]","의사가 개발·배합","[""의사가 개발"",""배합""]","EXPERT_DEVELOPMENT","계약서·회의록·연구자료 등 직접 참여 증빙, 단순 사실 표현인지 확인","추천·효능 보증으로 확대하거나 강조한 경우 분리 평가","계약서, 회의록, 연구자료 등 전문가 직접 참여 증빙","CAUTION","[""REVIEW-02""]","[]","0.1","DRAFT"
"C16_HUMAN_STUDY","COMMON","[]","인체적용시험 수치·그래프","[""인체적용시험 수치"",""그래프""]","HUMAN_STUDY","적격 출처, 원료 동일성, 기능성 범위 내 지표, 대조군 대비 유의성, 시험정보·개인차 고지 확인","제품과 원료 시험 구분. 특정 수치와 원문 도표 제시, %일 때 양 군 변화량·변화율·단위 검토","적격 출처, 원료 동일성, 시험 설계, 대조군 대비 유의성, 시험정보 및 개인차 고지","CAUTION","[""REVIEW-01"",""REVIEW-02""]","[]","0.1","DRAFT"
"C17_NONHUMAN_STUDY","COMMON","[]","동물·시험관 실험 효과","[""동물"",""시험관 실험 효과""]","NONHUMAN_STUDY","허용 지표·인체시험 관련성·유의성·비인체 한계 고지·특정 수치 사용 여부 확인","동물 결과를 사람의 효과로 옮기면 위험. 자료 미제출은 허위 확정 사유가 아님","비인체 시험자료, 허용 지표, 인체시험 관련성 및 한계 고지","CAUTION","[""REVIEW-02""]","[]","0.1","DRAFT"
"C18_RESEARCH_DISTORTION","COMMON","[]","축 축소·유리한 집단만 발췌","[""축 축소"",""유리한 집단만 발췌""]","RESEARCH_DISTORTION","원문과 대조하여 극단적 축 변경·유리한 부분 선택·의미 변경 여부 확인","의미를 보존하는 그래프 형태·선·색 변경 등은 세부기준상 가능. 논의 필요 D05","광고에 사용된 연구자료와 원문 도표·수치","HIGH","[""REVIEW-02""]","[]","0.1","DRAFT"
"C19_PATENT_MISUSE","COMMON","[]","특허로 치료효과 인정·출원 중 효능","[""특허로 치료효과 인정"",""출원 중 효능""]","PATENT_MISUSE","등록 사실·대상 원료·기능성 범위, 출원과 등록, 해외 국가 표기 확인","제법 특허 사실과 효능 보증을 구분. 부원료 특허·질병 치료 특허 명칭 주의","특허 등록자료, 대상 원료, 등록 국가 및 특허 범위","CAUTION","[""REVIEW-01"",""REVIEW-02""]","[]","0.1","DRAFT"
"C20_CERTIFICATION","COMMON","[]","FDA·GMP·수상·안전 인증","[""FDA"",""GMP"",""수상"",""안전 인증""]","CERTIFICATION","인증의 대상·시점·기관·범위를 제품 기능성·독점 안전성으로 확대했는지","원료 안전성에 관한 GRAS 사실 표시와 기능성 보증을 구분","인증서 또는 수상 자료와 인증 대상·기관·시점·범위","CAUTION","[""LAW-02"",""REVIEW-02""]","[""BAD-02""]","0.1","DRAFT"
"C21_UNFAIR_COMPARISON","COMMON","[]","함량 n배이므로 효과 n배","[""함량 n배이므로 효과 n배""]","UNFAIR_COMPARISON","비교대상·기준·방법·증빙의 객관성 및 함량을 기능성 우월로 확장했는지","입증된 함량 차이가 효과 차이를 자동 입증하지 않음","비교대상, 비교기준, 비교방법 및 객관적 실증자료","HIGH","[""LAW-02"",""REVIEW-02""]","[""BAD-02""]","0.1","DRAFT"
"C22_SUPERLATIVE","COMMON","[]","유일·최고·최대·최초·고순도","[""유일"",""최고"",""최대"",""최초"",""고순도""]","SUPERLATIVE","무엇을 비교하는지, 기준·시점·범위와 자료가 명확한지 확인","최초·최대함량의 조건부 표현 가능. 고함량 일반/홍삼 기준은 논의 필요 D04","최초·최대·고함량 등 비교 기준, 시점, 범위 및 실증자료","CAUTION","[""REVIEW-02"",""REVIEW-03""]","[]","0.1","DRAFT"
"C23_MIXED_PRODUCT","COMMON","[]","일반식품과 건기식 공동광고","[""일반식품과 건기식 공동광고""]","MIXED_PRODUCT","구획 및 설명이 명확하고 기능성 문구가 일반식품에 겹치는지 확인","일반식품의 별도 기능성 표시제도 적용 여부는 추가 확인. 레이아웃 없이 확정 불가","null","CAUTION","[""LAW-01"",""REVIEW-02""]","[]","0.1","DRAFT"
"C24_OVERCONSUMPTION","COMMON","[]","많이 먹을수록·식사 대신","[""많이 먹을수록"",""식사 대신""]","OVERCONSUMPTION","권장량 초과 조장, 균형식 대체, 잘못된 식습관 유지 유도 여부","단순 영양성분 함량 설명과 음식 전체 대체를 구분","null","HIGH","[""REVIEW-02""]","[]","0.1","DRAFT"
"C25_REQUIRED_IDENTITY","COMMON","[]","제품명·업소명·건기식 정보 누락","[""제품명"",""업소명"",""건기식 정보 누락""]","REQUIRED_IDENTITY","해당 매체·광고 범위에서 필수정보 존재 여부 확인","이미지·접힌 구획·분할 페이지 미추출을 실제 누락으로 단정하지 않음","렌더링된 전체 광고와 매체별 필수정보 표시 자료","CAUTION","[""LAW-01"",""LAW-03"",""REVIEW-01""]","[]","0.1","DRAFT"
"C26_REVIEW_STATUS","COMMON","[]","심의 여부·승인 시안 차이","[""심의 여부"",""승인 시안 차이""]","REVIEW_STATUS","심의 대상·예외 여부와 실제 심의 결과·현재 광고의 동일성 확인","심의번호를 못 찾았다는 이유만으로 미심의 판정 금지","심의 대상·예외 자료, 심의 결과 및 승인 시안과 현재 광고의 동일성 자료","CAUTION","[""LAW-01"",""LAW-05""]","[]","0.1","DRAFT"
"C27_FUNCTION_SYNERGY","COMMON","[]","혈당 관리로 살이 안 찜","[""혈당 관리로 살이 안 찜""]","FUNCTION_SYNERGY","인정된 두 기능을 미인정 인과관계·시너지로 연결하는지","각 기능을 독립적으로 설명하는 경우 구분","null","HIGH","[""REVIEW-03""]","[""BAD-06""]","0.1","DRAFT"
"C28_TARGET_SPECIALIZATION","COMMON","[]","수험생 전용 집중·학업 효과","[""수험생 전용 집중"",""학업 효과""]","TARGET_SPECIALIZATION","특정 계층에 특별한 기능이 있다는 오인을 유도하는지","단순 타깃 설정만으로 부적합 처리 금지. 다른 주원료 기능성도 확인","null","CAUTION","[""REVIEW-01""]","[""BAD-05""]","0.1","DRAFT"
"C29_ABSORPTION","COMMON","[]","흡수율·생체이용률 우수","[""흡수율"",""생체이용률 우수""]","ABSORPTION","동일 원료의 적격 인체시험 근거가 있는지 확인","특허만으로 입증 불가. 높은 흡수율을 더 강한 효능으로 확대하면 C05 추가 검토","동일 원료에 대한 적격 인체적용시험 자료","CAUTION","[""REVIEW-02""]","[]","0.1","DRAFT"
"C30_NATURAL_FREE","COMMON","[]","천연·자연·무첨가·무검출","[""천연"",""자연"",""무첨가"",""무검출""]","NATURAL_FREE","실제 원료·공정, 허용 명칭, 원래 금지된 첨가물 여부 및 성적서 제시 방식 확인","단어만으로 금지하지 않음. 제형·원료별 고시 예외 및 최신 조문 확인","원료·공정 자료, 시험성적서 및 적용 고시","CAUTION","[""LAW-04""]","[]","0.1","DRAFT"
"P01_VAGINAL_SCOPE","INGREDIENT_SPECIFIC","[""PROBIOTICS""]","여성 유산균·질 건강·삶의 질","[""여성 유산균"",""질 건강"",""삶의 질""]","VAGINAL_SCOPE","장 기능을 질 건강으로 확장하는지","'여성의 장 건강'은 문맥상 구분. 별도 인정 기능성 보유 여부 확인","null","CAUTION","[""REVIEW-03""]","[]","0.1","DRAFT"
"P02_ORIGIN_TARGET","INGREDIENT_SPECIFIC","[""PROBIOTICS""]","질 유래 균주 + 여성 이미지","[""질 유래 균주 + 여성 이미지""]","ORIGIN_TARGET","균주 유래와 대상 이미지가 질 기능을 암시하는지","유래 증빙 및 전체 광고 확인 필요","균주 유래 증빙과 전체 광고 시안","CAUTION","[""REVIEW-03""]","[]","0.1","DRAFT"
"P03_DISEASE_GUT","INGREDIENT_SPECIFIC","[""PROBIOTICS""]","변비·설사·배앓이·소화불량","[""변비"",""설사"",""배앓이"",""소화불량""]","DISEASE_GUT","제품정보에서 질병·증상 기능으로 주장하는지","변비 건강정보는 NOTICE-01에 따라 구획·출처·전체 인상 확인","null","HIGH","[""REVIEW-03"",""NOTICE-01""]","[""BAD-01""]","0.1","DRAFT"
"P04_CFU","INGREDIENT_SPECIFIC","[""PROBIOTICS""]","투입균수만 표시·크게 강조","[""투입균수만 표시"",""크게 강조""]","CFU","보장균수로 오인하거나 투입균수를 우선 강조하는지","글자 크기·색·굵기 미확인 시 논의 필요","투입균수·보장균수 표시와 글자 크기·색·굵기를 확인할 전체 시안","CAUTION","[""REVIEW-03"",""LAW-01""]","[]","0.1","DRAFT"
"P05_INFANT","INGREDIENT_SPECIFIC","[""PROBIOTICS""]","신생아·영아 유산균","[""신생아"",""영아 유산균""]","INFANT","13개월 미만을 섭취 대상으로 권장하는지","해당 PDF 기준의 적용 시점·제품 대상 확인","null","HIGH","[""REVIEW-03""]","[]","0.1","DRAFT"
"P06_STRAIN_EVIDENCE","INGREDIENT_SPECIFIC","[""PROBIOTICS""]","장 정착력·부착력·내산성·내담즙성","[""장 정착력"",""부착력"",""내산성"",""내담즙성""]","STRAIN_EVIDENCE","해당 균주 특성의 적격 과학적 근거 여부","근거가 있으면 조건부 표현 검토. 특허로 다른 기능 주장 불가","해당 균주의 정착력·부착력·내산성·내담즙성에 관한 적격 과학적 자료","CAUTION","[""REVIEW-03""]","[]","0.1","DRAFT"
"E01_VESSEL","INGREDIENT_SPECIFIC","[""EPA_DHA""]","혈관 건강·막힌 혈행을 뚫다","[""혈관 건강"",""막힌 혈행을 뚫다""]","VESSEL","혈행 개선을 혈관 자체 효과·청소로 확장","다른 인정 기능성에 '혈관'이 있는 원료는 별도 확인","null","HIGH","[""REVIEW-03""]","[]","0.1","DRAFT"
"E02_OTHER_FUNCTION","INGREDIENT_SPECIFIC","[""EPA_DHA""]","콜레스테롤·집중력·암기·충혈","[""콜레스테롤"",""집중력"",""암기"",""충혈""]","OTHER_FUNCTION","해당 원료의 인정 기능성 범위를 넘는지","복합제품의 다른 주원료 기능성과 연결해 검토","null","HIGH","[""REVIEW-03""]","[]","0.1","DRAFT"
"E03_GENERATION","INGREDIENT_SPECIFIC","[""EPA_DHA""]","1~4세대·차세대","[""1~4세대"",""차세대""]","GENERATION","분자형태 차이를 기능성 우월로 표현하는지","단순 설명과 우월 주장을 구분하되 PDF의 해당 표현 제한 적용 확인","null","CAUTION","[""REVIEW-03""]","[]","0.1","DRAFT"
"E04_ALIAS","INGREDIENT_SPECIFIC","[""EPA_DHA""]","오메가3만 기재","[""오메가3만 기재""]","ALIAS","정식 원료명이 광고에서 명확히 인지되는지","상단에 없다는 이유만으로 부적합 처리 금지, NOTICE-01 반영","null","CAUTION","[""REVIEW-03"",""NOTICE-01""]","[]","0.1","DRAFT"
"R01_COLD","INGREDIENT_SPECIFIC","[""RED_GINSENG""]","감기·대상포진","[""감기"",""대상포진""]","COLD","면역력 기능을 질병 예방·치료로 주장하는지","질병명 단독 탐지 후 구획·주장 주체 확인","null","HIGH","[""REVIEW-03""]","[]","0.1","DRAFT"
"R02_MENOPAUSE","INGREDIENT_SPECIFIC","[""RED_GINSENG""]","갱년기 증상·안면홍조·발한","[""갱년기 증상"",""안면홍조"",""발한""]","MENOPAUSE","갱년기 건강을 세부 증상 효과로 확장하는지","'갱년기 현상'으로 바꿔도 세부 증상 연결 시 허용으로 보지 않음","null","CAUTION","[""REVIEW-03""]","[]","0.1","DRAFT"
"R03_CONCENTRATION","INGREDIENT_SPECIFIC","[""RED_GINSENG""]","고함량·고농축·고순도","[""고함량"",""고농축"",""고순도""]","CONCENTRATION","비교기준·대상 제품이 명확하고 증빙되는지","일반기준과 품목기준 간 차이: 논의 필요 D04","제품과 비교대상의 함량·농축·순도 자료 및 적용 심의기준","CAUTION","[""REVIEW-03""]","[]","0.1","DRAFT"
"R04_MEDICAL_FORM","INGREDIENT_SPECIFIC","[""RED_GINSENG""]","건강식품·유효성분·약탕기·약사발","[""건강식품"",""유효성분"",""약탕기"",""약사발""]","MEDICAL_FORM","건기식 명칭 및 의약품 연상 용어·도안 확인","건강식품→건강기능식품, 유효성분→지표성분이 PDF 수정방향. 그림 미분석 시 보류","용어와 도안을 포함한 전체 광고 시안","CAUTION","[""REVIEW-03""]","[]","0.1","DRAFT"
"G01_EASY_DIET","INGREDIENT_SPECIFIC","[""GARCINIA""]","간편한·쉽고 빠른 다이어트","[""간편한"",""쉽고 빠른 다이어트""]","EASY_DIET","운동·식이조절 없이 제품만으로 감량되는 인상인지","'섭취 간편한'과 구분; 운동·식이조절 안내 확인","null","HIGH","[""REVIEW-03""]","[""GOOD-04""]","0.1","DRAFT"
"G02_PERIOD","INGREDIENT_SPECIFIC","[""GARCINIA""]","n주·n일 다이어트","[""n주"",""n일 다이어트""]","PERIOD","특정 기간 내 결과를 기대하게 하는지","단순 포장 수량·섭취 일정인지 구분","null","HIGH","[""REVIEW-03""]","[]","0.1","DRAFT"
"G03_WEIGHT_FAT","INGREDIENT_SPECIFIC","[""GARCINIA""]","체중감소·내장지방·피하지방","[""체중감소"",""내장지방"",""피하지방""]","WEIGHT_FAT","체지방 기능을 체중 또는 특정 지방 효과로 광고하는지","내장·피하지방은 적정 인체시험 구획의 지표인지 확인","해당 제품의 인정 기능성과 인체적용시험 자료","HIGH","[""REVIEW-03""]","[]","0.1","DRAFT"
"G04_SATIETY_COFFEE","INGREDIENT_SPECIFIC","[""GARCINIA""]","포만감·커피맛 다이어트","[""포만감"",""커피맛 다이어트""]","SATIETY_COFFEE","식사 대체·부원료 커피 강조·과다섭취 인상 확인","다른 원료의 기능성 또는 단순 맛 설명이라는 이유만으로 자동 허용하지 않음","null","CAUTION","[""REVIEW-03""]","[]","0.1","DRAFT"
"G05_GLUCOSE_DIET","INGREDIENT_SPECIFIC","[""GARCINIA""]","혈당 다이어트","[""혈당 다이어트""]","GLUCOSE_DIET","혈당과 체지방 기능을 새 인과관계로 결합하는지","각 기능을 명확히 구분한 설명과 구별","null","HIGH","[""REVIEW-03""]","[]","0.1","DRAFT"
"M01_FATIGUE","INGREDIENT_SPECIFIC","[""MILK_THISTLE""]","피로·피곤","[""피로"",""피곤""]","FATIGUE","간 건강을 전신 피로개선 기능으로 확장하는지","PDF는 '간 피로·피곤한 간' 수정 예시 제시. 홍경천 등 다른 기능성 주원료 확인","null","CAUTION","[""REVIEW-03""]","[""BAD-05"",""GOOD-05""]","0.1","DRAFT"
"M02_LIVER_MARKER","INGREDIENT_SPECIFIC","[""MILK_THISTLE""]","간 수치·AST·ALT","[""간 수치"",""AST"",""ALT""]","LIVER_MARKER","제품 카피에서 지표 개선을 직접 주장하는지","적격 인체시험 구획의 지표는 별도 심사","간 지표를 사용한 인체적용시험 원문과 광고 구획","CAUTION","[""REVIEW-03""]","[]","0.1","DRAFT"
"M03_ALCOHOL","INGREDIENT_SPECIFIC","[""MILK_THISTLE""]","술·회식 전·숙취","[""술"",""회식 전"",""숙취""]","ALCOHOL","알코올 보호·즉시효과·숙취 효과를 주장하는지","다른 원료에 인정된 알코올 손상 보호 기능이 있어도 숙취 효과로 확대 불가","null","HIGH","[""REVIEW-03""]","[]","0.1","DRAFT"
"M04_REGEN_CANCER","INGREDIENT_SPECIFIC","[""MILK_THISTLE""]","손상된 간 재생·간암 건강정보","[""손상된 간 재생"",""간암 건강정보""]","REGEN_CANCER","치료 재생 주장 또는 암 관련 공포 유도 여부","건강정보라는 제목만으로 예외 처리하지 않음","null","HIGH","[""REVIEW-03""]","[]","0.1","DRAFT"
"T01_WEIGHT_RESULT","INGREDIENT_SPECIFIC","[""GREEN_TEA""]","n kg 빠졌어요","[""n kg 빠졌어요""]","WEIGHT_RESULT","체중감량 및 수치 효과 보장으로 인식되는지","체험담과 시험 수치 인용 구획 구분","null","HIGH","[""REVIEW-03""]","[]","0.1","DRAFT"
"T02_DETOX","INGREDIENT_SPECIFIC","[""GREEN_TEA""]","클렌즈·디톡스","[""클렌즈"",""디톡스""]","DETOX","체지방 기능을 미인정 해독 기능으로 확장하는지","이름·상표에 포함된 경우도 광고 전체 확인","null","HIGH","[""REVIEW-03""]","[]","0.1","DRAFT"
"T03_DIET_DRUG","INGREDIENT_SPECIFIC","[""GREEN_TEA""]","다이어트제·다이어트 보조제·체중감량제","[""다이어트제"",""다이어트 보조제"",""체중감량제""]","DIET_DRUG","의약품 오인 용어 사용 여부","광고 문맥에서 제품 지칭인지 확인","null","CAUTION","[""REVIEW-03""]","[]","0.1","DRAFT"
"T04_ANTIAGING","INGREDIENT_SPECIFIC","[""GREEN_TEA""]","노화방지","[""노화방지""]","ANTIAGING","항산화를 노화방지 기능으로 확장하는지","다른 원료 기능성이 있다면 별도 대조","null","HIGH","[""REVIEW-03""]","[]","0.1","DRAFT"
"S01_PAIN","INGREDIENT_SPECIFIC","[""MSM""]","뻣뻣함·찌릿함·통증·저림·욱신","[""뻣뻣함"",""찌릿함"",""통증"",""저림"",""욱신""]","PAIN","관절 건강을 통증·증상 치료로 연결하는지","번개도안 등 비텍스트 신호는 텍스트 수집만으로 확인 불가","null","HIGH","[""REVIEW-03""]","[""BAD-07"",""GOOD-07""]","0.1","DRAFT"
"S02_BODY_AREA","INGREDIENT_SPECIFIC","[""MSM""]","허리·목·척추·고관절·골반 강조","[""허리"",""목"",""척추"",""고관절"",""골반 강조""]","BODY_AREA","해당 부위 효과를 제품 기능성으로 표현하는지","해부학 단어가 있다는 이유만으로 금지하지 않음. PDF가 제한한 부위 강조 여부 확인","null","CAUTION","[""REVIEW-03""]","[]","0.1","DRAFT"
"S03_PLANT_ORIGIN","INGREDIENT_SPECIFIC","[""MSM""]","식물성 MSM·식이유황·소나무 기원","[""식물성 MSM"",""식이유황"",""소나무 기원""]","PLANT_ORIGIN","원재료 유래를 적정 실증자료로 확인 가능한지","PDF 원재료 표기 'DSMO'는 원문 오기 가능성이 있어 원자료 대조. 자동 정규화하여 법정 원료명 생성 금지","원재료 유래를 확인할 원자료 및 실증자료","CAUTION","[""REVIEW-03""]","[]","0.1","DRAFT"
"S04_SEASON","INGREDIENT_SPECIFIC","[""MSM""]","겨울 관절·날씨 통증 건강정보","[""겨울 관절"",""날씨 통증 건강정보""]","SEASON","특정 계절·날씨에 특화된 효과를 암시하는지","'겨울 할인' 같은 판매 계절성과 구분","null","CAUTION","[""REVIEW-03""]","[""BAD-07""]","0.1","DRAFT"
"O01_SEXUAL","INGREDIENT_SPECIFIC","[""OCTACOSANOL""]","스테미너·성적 파워·아내가 좋아함","[""스테미너"",""성적 파워"",""아내가 좋아함""]","SEXUAL","지구력 기능을 성기능으로 암시하는지","관계·침대·횟수 등 주변 문맥을 함께 확인","null","HIGH","[""REVIEW-03""]","[""BAD-08"",""GOOD-08""]","0.1","DRAFT"
"O02_ENERGY_EXPANSION","INGREDIENT_SPECIFIC","[""OCTACOSANOL""]","피로·피곤·파워업·젊음·힘없는 중년","[""피로"",""피곤"",""파워업"",""젊음"",""힘없는 중년""]","ENERGY_EXPANSION","지구력 범위 밖의 피로개선·회춘·활력 회복 주장인지","다른 주원료 기능성과 제품 전체 맥락 확인","null","CAUTION","[""REVIEW-03""]","[]","0.1","DRAFT"
"B01_IMMUNE_INFLAMMATION","INGREDIENT_SPECIFIC","[""PROPOLIS""]","면역·감염·염증","[""면역"",""감염"",""염증""]","IMMUNE_INFLAMMATION","항산화·구강 항균을 면역 및 질환 효과로 확장하는지","다른 인정 기능성 주원료 보유 여부 확인","null","HIGH","[""REVIEW-03""]","[""BAD-09""]","0.1","DRAFT"
"B02_VIRUS","INGREDIENT_SPECIFIC","[""PROPOLIS""]","바이러스","[""바이러스""]","VIRUS","벌집 관련 원료 설명인지 인체 바이러스 방어 주장인지","벌집 설명 구획은 PDF가 제한 허용. 인체 감기·독감 방어는 범위 초과","null","CAUTION","[""REVIEW-03""]","[]","0.1","DRAFT"
"B03_OTHER_ORAL","INGREDIENT_SPECIFIC","[""PROPOLIS""]","구취·입냄새·미세먼지·목관리·기관지","[""구취"",""입냄새"",""미세먼지"",""목관리"",""기관지""]","OTHER_ORAL","제품 인정 기능성보다 넓은 효과를 주장하는지","구강 항균이 구강·호흡기 모든 기능의 허용 근거는 아님","null","HIGH","[""REVIEW-03""]","[""BAD-09"",""GOOD-09""]","0.1","DRAFT"
"B04_ARTEPILLIN","INGREDIENT_SPECIFIC","[""PROPOLIS""]","아르테필린C","[""아르테필린C""]","ARTEPILLIN","함유성분임을 명확히 하고 함량·공인성적서를 확인했는지","기능성분처럼 강조하거나 이 성분에 기능성 부여 금지. 주원료의 함유성분과 별도 배합 부원료는 구분","아르테필린C 함량 자료와 공인시험성적서","CAUTION","[""REVIEW-03""]","[]","0.1","DRAFT"
"B05_ANTIBACTERIAL_WORD","INGREDIENT_SPECIFIC","[""PROPOLIS""]","향균","[""향균""]","ANTIBACTERIAL_WORD","인정 기능성의 '항균'을 잘못 표기했는지","문구 정정 항목. 오타만으로 높은 건강 위해 또는 위법 확정 금지","null","CAUTION","[""REVIEW-03""]","[]","0.1","DRAFT"
"L01_VISION","INGREDIENT_SPECIFIC","[""MARIGOLD""]","시력·근시·원시·노안","[""시력"",""근시"",""원시"",""노안""]","VISION","황반색소밀도 유지 기능을 시력·노안 효과로 확장하는지","시력표·멀리 스마트폰을 보는 이미지도 검토 대상","null","HIGH","[""REVIEW-03""]","[""GOOD-10""]","0.1","DRAFT"
