caseId,caseType,sourceId,ingredientCodes,otherMainIngredients,textKind,quotedText,sourceDecision,sourceReasonSummary,ruleCodes,printedPage,pdfPage,verificationStatus,notes
GOOD-01,GOOD,CASE-BASE,PROBIOTICS,,SUMMARY,광고 내용 요약: 건강한 장이 주는 편안함을 모델이 설명,SUITABLE,유산균 증식·유해균 억제·배변활동 원활 기능성 중심,"C06_OFFICIAL_FUNCTION, C13_TESTIMONIAL",100,102,REVIEW_REQUIRED,provenance: 사용자 제공 PDF(PDF-BASE)의 Ⅴ-2 '심의결정 사례'(CASE-BASE)에서 정리. 해당 광고 전체에 내려진 원문 심의결정 라벨이며 발췌한 단어 하나에 대한 금지판정이 아님. 집행 여부·시점·심의번호·사건번호·처분기관·행정처분 내역 확인되지 않음(모두 null). 가려진 표현·제품명 복원 또는 광고주 추정하지 않음. 정부기관 적발·행정처분 확정 사례 아님. 적용 한계: '먹었더니'가 있다는 이유만으로 후기 효과 보장이라고 판단하지 않음.
GOOD-02,GOOD,CASE-BASE,EPA_DHA,,QUOTE,"이미지: ""100% 식물성"", ""혈행건강엔""; 나머지는 가림",SUITABLE,과학적으로 확인된 내용 및 적합한 기능성 표현 중심,"C06_OFFICIAL_FUNCTION, C10_INGREDIENT_100",101,103,REVIEW_REQUIRED,provenance: 사용자 제공 PDF(PDF-BASE)의 Ⅴ-2 '심의결정 사례'(CASE-BASE)에서 정리. 해당 광고 전체에 내려진 원문 심의결정 라벨이며 발췌한 단어 하나에 대한 금지판정이 아님. 집행 여부·시점·심의번호·사건번호·처분기관·행정처분 내역 확인되지 않음(모두 null). 가려진 표현·제품명 복원 또는 광고주 추정하지 않음. 정부기관 적발·행정처분 확정 사례 아님. 적용 한계: 식물성 100%의 실제 적용 범위·구성요건은 제품별 증빙 필요. 효과 100%로 분류 금지.
GOOD-03,GOOD,CASE-BASE,RED_GINSENG,,QUOTE,"이미지: ""소중한 분들께 건강한 내일을 전하세요""",SUITABLE,인정 기능성을 중심으로 면역력 도움을 전달,C06_OFFICIAL_FUNCTION,102,104,REVIEW_REQUIRED,provenance: 사용자 제공 PDF(PDF-BASE)의 Ⅴ-2 '심의결정 사례'(CASE-BASE)에서 정리. 해당 광고 전체에 내려진 원문 심의결정 라벨이며 발췌한 단어 하나에 대한 금지판정이 아님. 집행 여부·시점·심의번호·사건번호·처분기관·행정처분 내역 확인되지 않음(모두 null). 가려진 표현·제품명 복원 또는 광고주 추정하지 않음. 정부기관 적발·행정처분 확정 사례 아님. 적용 한계: 모든 홍삼 제품에 PDF에 열거된 기능성 전부가 적용되는 것은 아님.
GOOD-04,GOOD,CASE-BASE,GARCINIA,,SUMMARY,광고 내용 요약: 체지방 감소 기능성을 카피 및 하단에 표시,SUITABLE,탄수화물의 지방 합성 억제를 통한 체지방 감소 도움을 표현,"C06_OFFICIAL_FUNCTION, G01_EASY_DIET",103,105,REVIEW_REQUIRED,provenance: 사용자 제공 PDF(PDF-BASE)의 Ⅴ-2 '심의결정 사례'(CASE-BASE)에서 정리. 해당 광고 전체에 내려진 원문 심의결정 라벨이며 발췌한 단어 하나에 대한 금지판정이 아님. 집행 여부·시점·심의번호·사건번호·처분기관·행정처분 내역 확인되지 않음(모두 null). 가려진 표현·제품명 복원 또는 광고주 추정하지 않음. 정부기관 적발·행정처분 확정 사례 아님. 적용 한계: 하단에 기능성을 썼다고 상단의 확정적 감량 주장이 정당화되지는 않음.
GOOD-05,GOOD,CASE-BASE,MILK_THISTLE,,QUOTE,"사유에 제시된 카피: ""간에 좋은""",SUITABLE,간 건강에 도움이라는 기능성과 제품 패키지·심의받은 내용으로 표현,"C06_OFFICIAL_FUNCTION, M01_FATIGUE",104,106,REVIEW_REQUIRED,provenance: 사용자 제공 PDF(PDF-BASE)의 Ⅴ-2 '심의결정 사례'(CASE-BASE)에서 정리. 해당 광고 전체에 내려진 원문 심의결정 라벨이며 발췌한 단어 하나에 대한 금지판정이 아님. 집행 여부·시점·심의번호·사건번호·처분기관·행정처분 내역 확인되지 않음(모두 null). 가려진 표현·제품명 복원 또는 광고주 추정하지 않음. 정부기관 적발·행정처분 확정 사례 아님. 적용 한계: 간 치료·숙취 해소 주장으로 확장하지 않아야 함.
GOOD-06,GOOD,CASE-BASE,GREEN_TEA,,SUMMARY,광고 내용 요약: 기업과 제품의 장점을 기능성 중심으로 표현,SUITABLE,항산화·체지방 감소·혈중 콜레스테롤 개선에 도움 범위,C06_OFFICIAL_FUNCTION,105,107,REVIEW_REQUIRED,provenance: 사용자 제공 PDF(PDF-BASE)의 Ⅴ-2 '심의결정 사례'(CASE-BASE)에서 정리. 해당 광고 전체에 내려진 원문 심의결정 라벨이며 발췌한 단어 하나에 대한 금지판정이 아님. 집행 여부·시점·심의번호·사건번호·처분기관·행정처분 내역 확인되지 않음(모두 null). 가려진 표현·제품명 복원 또는 광고주 추정하지 않음. 정부기관 적발·행정처분 확정 사례 아님. 적용 한계: 단순 기업 장점과 별도 효능 주장을 구분.
GOOD-07,GOOD,CASE-BASE,MSM,,QUOTE,"이미지: ""관절/연골 건강""",SUITABLE,제품 패키지에서 인정받은 사실을 표시,"C06_OFFICIAL_FUNCTION, S01_PAIN",106,108,REVIEW_REQUIRED,provenance: 사용자 제공 PDF(PDF-BASE)의 Ⅴ-2 '심의결정 사례'(CASE-BASE)에서 정리. 해당 광고 전체에 내려진 원문 심의결정 라벨이며 발췌한 단어 하나에 대한 금지판정이 아님. 집행 여부·시점·심의번호·사건번호·처분기관·행정처분 내역 확인되지 않음(모두 null). 가려진 표현·제품명 복원 또는 광고주 추정하지 않음. 정부기관 적발·행정처분 확정 사례 아님. 적용 한계: 관절 관련 도안 전체가 금지인 것은 아님. 통증 치료·재생 암시 여부 검토.
GOOD-08,GOOD,CASE-BASE,OCTACOSANOL,,SUMMARY,광고 내용 요약: 지구력 증진 도움 중심,SUITABLE,제품의 지구력 기능성 내용을 광고로 표현,"C06_OFFICIAL_FUNCTION, O01_SEXUAL",107,109,REVIEW_REQUIRED,provenance: 사용자 제공 PDF(PDF-BASE)의 Ⅴ-2 '심의결정 사례'(CASE-BASE)에서 정리. 해당 광고 전체에 내려진 원문 심의결정 라벨이며 발췌한 단어 하나에 대한 금지판정이 아님. 집행 여부·시점·심의번호·사건번호·처분기관·행정처분 내역 확인되지 않음(모두 null). 가려진 표현·제품명 복원 또는 광고주 추정하지 않음. 정부기관 적발·행정처분 확정 사례 아님. 적용 한계: 힘·활력 카피가 성기능 암시로 확장되는지 별도 판단.
GOOD-09,GOOD,CASE-BASE,PROPOLIS,,QUOTE,"이미지: ""구강항균"", ""항산화"" 체크 표시",SUITABLE,항산화와 구강에서 항균작용에 도움 범위,"C06_OFFICIAL_FUNCTION, B03_OTHER_ORAL",108,110,REVIEW_REQUIRED,provenance: 사용자 제공 PDF(PDF-BASE)의 Ⅴ-2 '심의결정 사례'(CASE-BASE)에서 정리. 해당 광고 전체에 내려진 원문 심의결정 라벨이며 발췌한 단어 하나에 대한 금지판정이 아님. 집행 여부·시점·심의번호·사건번호·처분기관·행정처분 내역 확인되지 않음(모두 null). 가려진 표현·제품명 복원 또는 광고주 추정하지 않음. 정부기관 적발·행정처분 확정 사례 아님. 적용 한계: 해당 제품에 두 기능성이 실제 인정되는지 확인; 잇몸질환 치료까지 허용 아님.
GOOD-10,GOOD,CASE-BASE,MARIGOLD,밀크씨슬(이미지 표시),QUOTE,"이미지: ""침침한 눈"", ""하루 한알로 한번에!""",SUITABLE,황반색소밀도 유지에 따른 눈 건강 도움을 '침침한 눈'으로 표현했다는 설명,"C06_OFFICIAL_FUNCTION, L01_VISION, C09_COMPLETE_SOLUTION",109,111,REVIEW_REQUIRED,provenance: 사용자 제공 PDF(PDF-BASE)의 Ⅴ-2 '심의결정 사례'(CASE-BASE)에서 정리. 해당 광고 전체에 내려진 원문 심의결정 라벨이며 발췌한 단어 하나에 대한 금지판정이 아님. 집행 여부·시점·심의번호·사건번호·처분기관·행정처분 내역 확인되지 않음(모두 null). 가려진 표현·제품명 복원 또는 광고주 추정하지 않음. 정부기관 적발·행정처분 확정 사례 아님. 적용 한계: 이미지에는 밀크씨슬도 표시됨. 섭취 편의의 '한번에'와 건강문제 완전 해결 구분. file1 SRC-D02 편집상 확인 필요 구간과 인접(109/111).
DISC-01,DISCUSSION,,,,QUOTE,'예방' 포함 문구,,"제품이 질병을 예방한다는 주장인가, '예방 및 치료를 위한 의약품이 아님'이라는 고지인가",C01_DISEASE_PREVENTION; 부정문은 위험 주장 제외,,,REVIEW_REQUIRED,"이 항목은 심의결정 사례가 아니라 '논의가 필요한 예시/문맥 비교'다(원본 시트명: C_논의필요문맥허용조건비교). GOOD/BAD와 같은 확정 사례로 취급하지 않음. sourceDecision=null. 근거 문자열에 다중 sourceId/페이지쌍이 섞여 있어 printedPage/pdfPage로 분리하지 않고 notes에 원문 보존. 근거(원문): LAW-01 제4조제1항제3호바목, LAW-02 별표1 제1호; 1 / 3, 6 / 8"
DISC-02,DISCUSSION,,,,QUOTE,인정된 질병 발생 위험 감소 표현,,질병명 자체가 아니라 인정된 원료·기능성·제품요건과 일치하는지,C06_OFFICIAL_FUNCTION; 기능성 확인 전 보류,,,REVIEW_REQUIRED,이 항목은 심의결정 사례가 아니라 '논의가 필요한 예시/문맥 비교'다(원본 시트명: C_논의필요문맥허용조건비교). GOOD/BAD와 같은 확정 사례로 취급하지 않음. sourceDecision=null. 근거 문자열에 다중 sourceId/페이지쌍이 섞여 있어 printedPage/pdfPage로 분리하지 않고 notes에 원문 보존. 근거(원문): LAW-02 별표1 제1호가목2)·라목1); 6 / 8
DISC-03,DISCUSSION,,,,QUOTE,'변비' 제품설명 vs 분리된 건강정보,,"배변활동 기능 범위의 건강정보인지, 제품 치료 효과로 연결하는지","P03_DISEASE_GUT, C04_DISEASE_INFO_LINK; 구획 확인",,,REVIEW_REQUIRED,"이 항목은 심의결정 사례가 아니라 '논의가 필요한 예시/문맥 비교'다(원본 시트명: C_논의필요문맥허용조건비교). GOOD/BAD와 같은 확정 사례로 취급하지 않음. sourceDecision=null. 근거 문자열에 다중 sourceId/페이지쌍이 섞여 있어 printedPage/pdfPage로 분리하지 않고 notes에 원문 보존. 근거(원문): NOTICE-01 항목2; REVIEW-03 프로바이오틱스3, 63 / 65"
DISC-04,DISCUSSION,,,,QUOTE,황반변성 정의·통계 vs 예방 광고,,공신력 있는 출처의 간략한 건강정보인지 제품 효과 주장인지,L03_EYE_DISEASE; 정의·통계도 자동 허용 금지,,,REVIEW_REQUIRED,이 항목은 심의결정 사례가 아니라 '논의가 필요한 예시/문맥 비교'다(원본 시트명: C_논의필요문맥허용조건비교). GOOD/BAD와 같은 확정 사례로 취급하지 않음. sourceDecision=null. 근거 문자열에 다중 sourceId/페이지쌍이 섞여 있어 printedPage/pdfPage로 분리하지 않고 notes에 원문 보존. 근거(원문): REVIEW-03 마리골드3; 79 / 81
DISC-05,DISCUSSION,,,,QUOTE,'100% 효과' vs 원재료·식물성 100%,,100%가 결과인지 구성·함량인지 확인,"C07_ABSOLUTE_EFFECT, C10_INGREDIENT_100; 수식 대상별 평가",,,REVIEW_REQUIRED,"이 항목은 심의결정 사례가 아니라 '논의가 필요한 예시/문맥 비교'다(원본 시트명: C_논의필요문맥허용조건비교). GOOD/BAD와 같은 확정 사례로 취급하지 않음. sourceDecision=null. 근거 문자열에 다중 sourceId/페이지쌍이 섞여 있어 printedPage/pdfPage로 분리하지 않고 notes에 원문 보존. 근거(원문): LAW-04 제2조제3호카목 PDF 수록본, 14 / 16; GOOD-02"
DISC-06,DISCUSSION,,,,QUOTE,'한번에 끝' vs '하루 한알로 한번에',,건강문제 해결인지 섭취·구성 편의인지,C09_COMPLETE_SOLUTION; 단어 단독 점수 금지,,,REVIEW_REQUIRED,"이 항목은 심의결정 사례가 아니라 '논의가 필요한 예시/문맥 비교'다(원본 시트명: C_논의필요문맥허용조건비교). GOOD/BAD와 같은 확정 사례로 취급하지 않음. sourceDecision=null. 근거 문자열에 다중 sourceId/페이지쌍이 섞여 있어 printedPage/pdfPage로 분리하지 않고 notes에 원문 보존. 근거(원문): REVIEW-02 더, 58 / 60; GOOD-10"
DISC-07,DISCUSSION,,,,QUOTE,'간편한 다이어트' vs '섭취 간편한',,결과 달성의 간편성인지 먹는 방법의 편의인지,G01_EASY_DIET; 수식 범위 확인,,,REVIEW_REQUIRED,이 항목은 심의결정 사례가 아니라 '논의가 필요한 예시/문맥 비교'다(원본 시트명: C_논의필요문맥허용조건비교). GOOD/BAD와 같은 확정 사례로 취급하지 않음. sourceDecision=null. 근거 문자열에 다중 sourceId/페이지쌍이 섞여 있어 printedPage/pdfPage로 분리하지 않고 notes에 원문 보존. 근거(원문): REVIEW-03 가르시니아2; 68 / 70
DISC-08,DISCUSSION,,,,QUOTE,'n주 다이어트' vs 포장분량 안내,,특정 기간 효과 보장인지 단순 분량·일정인지,G02_PERIOD; 포장량 예외는 자동 공식 허용 문구로 저장하지 않음,,,REVIEW_REQUIRED,이 항목은 심의결정 사례가 아니라 '논의가 필요한 예시/문맥 비교'다(원본 시트명: C_논의필요문맥허용조건비교). GOOD/BAD와 같은 확정 사례로 취급하지 않음. sourceDecision=null. 근거 문자열에 다중 sourceId/페이지쌍이 섞여 있어 printedPage/pdfPage로 분리하지 않고 notes에 원문 보존. 근거(원문): REVIEW-03 가르시니아7; 69 / 71; 분량 비교는 AdCheck 도출
DISC-09,DISCUSSION,,,,QUOTE,"'간 수치·AST·ALT', '내장지방'",,제품 카피인지 적정 인체시험 구획의 지표인지,"M02_LIVER_MARKER, G03_WEIGHT_FAT; 시험자료 확인",,,REVIEW_REQUIRED,"이 항목은 심의결정 사례가 아니라 '논의가 필요한 예시/문맥 비교'다(원본 시트명: C_논의필요문맥허용조건비교). GOOD/BAD와 같은 확정 사례로 취급하지 않음. sourceDecision=null. 근거 문자열에 다중 sourceId/페이지쌍이 섞여 있어 printedPage/pdfPage로 분리하지 않고 notes에 원문 보존. 근거(원문): REVIEW-03 밀크씨슬2·가르시니아8; 70 / 72, 69 / 71"
DISC-10,DISCUSSION,,,,QUOTE,'고함량·고순도',,"일반기준과 홍삼 품목기준 차이, 비교기준·대상·증빙 여부","C22_SUPERLATIVE, R03_CONCENTRATION; 기준 적용 논의 필요(file1 SRC-D04)",,,REVIEW_REQUIRED,"이 항목은 심의결정 사례가 아니라 '논의가 필요한 예시/문맥 비교'다(원본 시트명: C_논의필요문맥허용조건비교). GOOD/BAD와 같은 확정 사례로 취급하지 않음. sourceDecision=null. 근거 문자열에 다중 sourceId/페이지쌍이 섞여 있어 printedPage/pdfPage로 분리하지 않고 notes에 원문 보존. 근거(원문): REVIEW-02 거, 58 / 60; REVIEW-03 홍삼1, 66 / 68"
DISC-11,DISCUSSION,,,,QUOTE,'바이러스',,벌집을 설명하는 원료 구획인지 인체 감기·독감 방어 주장인지,B02_VIRUS; 작용 대상 확인,,,REVIEW_REQUIRED,이 항목은 심의결정 사례가 아니라 '논의가 필요한 예시/문맥 비교'다(원본 시트명: C_논의필요문맥허용조건비교). GOOD/BAD와 같은 확정 사례로 취급하지 않음. sourceDecision=null. 근거 문자열에 다중 sourceId/페이지쌍이 섞여 있어 printedPage/pdfPage로 분리하지 않고 notes에 원문 보존. 근거(원문): REVIEW-03 프로폴리스4; 78 / 80
DISC-12,DISCUSSION,,,,QUOTE,'여성 유산균' vs '여성의 장 건강을 위한 유산균',,질 건강 효과로 오인되는지 장 건강임을 명확히 하는지,P01_VAGINAL_SCOPE; 여성이라는 타깃만으로 위험 확정 금지,,,REVIEW_REQUIRED,이 항목은 심의결정 사례가 아니라 '논의가 필요한 예시/문맥 비교'다(원본 시트명: C_논의필요문맥허용조건비교). GOOD/BAD와 같은 확정 사례로 취급하지 않음. sourceDecision=null. 근거 문자열에 다중 sourceId/페이지쌍이 섞여 있어 printedPage/pdfPage로 분리하지 않고 notes에 원문 보존. 근거(원문): REVIEW-03 프로바이오틱스1; 62 / 64
DISC-13,DISCUSSION,,,,QUOTE,의사 개발 사실 vs 의사 추천,,"직접 개발 참여를 입증하는가, 기능성을 보증하는가","C14_EXPERT_ENDORSEMENT, C15_EXPERT_DEVELOPMENT",,,REVIEW_REQUIRED,이 항목은 심의결정 사례가 아니라 '논의가 필요한 예시/문맥 비교'다(원본 시트명: C_논의필요문맥허용조건비교). GOOD/BAD와 같은 확정 사례로 취급하지 않음. sourceDecision=null. 근거 문자열에 다중 sourceId/페이지쌍이 섞여 있어 printedPage/pdfPage로 분리하지 않고 notes에 원문 보존. 근거(원문): REVIEW-02 마; 53~54 / 55~56
DISC-14,DISCUSSION,,,,QUOTE,약국용 vs 약국 내 건강기능식품 코너 판매,,의약품급 기능 암시인지 단순 판매처 안내인지,C03_MEDICINE_CONFUSION,,,REVIEW_REQUIRED,이 항목은 심의결정 사례가 아니라 '논의가 필요한 예시/문맥 비교'다(원본 시트명: C_논의필요문맥허용조건비교). GOOD/BAD와 같은 확정 사례로 취급하지 않음. sourceDecision=null. 근거 문자열에 다중 sourceId/페이지쌍이 섞여 있어 printedPage/pdfPage로 분리하지 않고 notes에 원문 보존. 근거(원문): REVIEW-02 파; 57 / 59
DISC-15,DISCUSSION,,,,QUOTE,후기 속 감량 수치 vs 운동·식이조절을 병행한 비보장 후기,,실제 경험·제품 관련성·공식 기능성·결과 보장 여부,"C13_TESTIMONIAL, C08_RESULT_TIME_AMOUNT",,,REVIEW_REQUIRED,이 항목은 심의결정 사례가 아니라 '논의가 필요한 예시/문맥 비교'다(원본 시트명: C_논의필요문맥허용조건비교). GOOD/BAD와 같은 확정 사례로 취급하지 않음. sourceDecision=null. 근거 문자열에 다중 sourceId/페이지쌍이 섞여 있어 printedPage/pdfPage로 분리하지 않고 notes에 원문 보존. 근거(원문): REVIEW-02 라(1); 53 / 55
